,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
0,Afghanistan,1842,93288,85,3683
1,Albania,1239,132469,21,2454
2,Algeria,2524,134115,51,3588
3,American Samoa,0,0,0,0
4,Andorra,299,13828,6,127
5,Angola,405,36921,18,842
6,Anguilla,25,109,0,0
7,Antigua and Barbuda,63,1263,10,42
8,Argentina,41080,4145482,3351,86029
9,Armenia,2476,223904,41,4490
10,Aruba,300,11081,4,107
11,Australia,721,30274,59,910
12,Austria,10368,644778,213,10407
13,Azerbaijan,4451,335264,47,4958
14,Bahamas,194,12225,17,239
15,Bahrain,3275,260334,29,1246
16,Bangladesh,7626,837247,112,13282
17,Barbados,211,4037,3,47
18,Belarus,2170,406861,20,2995
19,Belgium,22214,1077087,322,25099
20,Belize,1141,12971,14,326
21,Benin,479,8140,9,103
22,Bermuda,118,2498,3,33
23,Bhutan,100,1854,1,1
24,Bolivia (Plurinational State of),3839,409706,1610,15614
25,Bonaire,126,1593,3,17
26,Bosnia and Herzegovina,2154,204697,99,9534
27,Botswana,2497,64021,62,926
28,Brazil,100158,17452612,4249,488228
29,British Virgin Islands,41,295,1,1
30,Brunei Darussalam,15,250,1,3
31,Bulgaria,5176,420654,221,17932
32,Burkina Faso,437,13459,9,167
33,Burundi,135,5082,3,8
34,Cabo Verde,701,31704,5,276
35,Cambodia,938,39464,15,361
36,Cameroon,8681,80090,133,1310
37,Canada,10275,1403285,235,25944
38,Cayman Islands,17,593,1,2
39,Central African Republic,263,7101,7,98
40,Chad,91,4943,10,174
41,Chile,36179,1487239,1057,30865
42,China,15152,116665,1290,5306
43,Colombia,30000,3777600,588,96366
44,Comoros,286,3971,8,146
45,Congo,960,11920,16,155
46,Cook Islands,0,0,0,0
47,Costa Rica,3173,343604,48,4388
48,Croatia,4727,358823,154,8162
49,Cuba,1537,160594,41,1106
50,Curaçao,1232,12296,14,123
51,Cyprus,941,73311,7,374
52,Czechia,17773,1665526,278,30254
53,Côte d’Ivoire,1650,47909,8,306
