,Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
0,2020-01-03,0,0,0,0
1,2020-01-04,1,1,0,0
2,2020-01-05,0,1,0,0
3,2020-01-06,3,4,0,0
4,2020-01-07,0,4,0,0
5,2020-01-08,0,4,0,0
6,2020-01-09,0,4,0,0
7,2020-01-10,0,4,0,0
8,2020-01-11,0,4,0,0
9,2020-01-12,41,45,1,1
10,2020-01-13,1,45,0,1
11,2020-01-14,4,45,0,1
12,2020-01-15,0,45,0,1
13,2020-01-16,0,45,0,1
14,2020-01-17,4,49,1,2
15,2020-01-18,4,49,0,2
16,2020-01-19,76,125,1,3
17,2020-01-20,77,202,1,4
18,2020-01-21,93,295,2,6
19,2020-01-22,147,442,11,17
20,2020-01-23,132,574,1,18
21,2020-01-24,261,835,8,26
22,2020-01-25,462,1297,16,42
23,2020-01-26,688,1985,14,56
24,2020-01-27,776,2761,26,82
25,2020-01-28,1772,4533,49,131
26,2020-01-29,1464,5997,2,133
27,2020-01-30,1739,7736,38,171
28,2020-01-31,1984,9720,42,213
29,2020-02-01,2101,11821,46,259
30,2020-02-02,2590,14411,102,361
31,2020-02-03,2827,17238,64,425
32,2020-02-04,3233,20471,66,491
33,2020-02-05,3892,24363,72,563
34,2020-02-06,3697,28060,70,633
35,2020-02-07,3151,31211,85,718
36,2020-02-08,3387,34598,87,805
37,2020-02-09,2653,37251,100,905
38,2020-02-10,2984,40235,107,1012
39,2020-02-11,2473,42708,100,1112
40,2020-02-12,2022,44730,5,1117
41,2020-02-13,15152,59882,252,1369
42,2020-02-14,4050,63932,152,1521
43,2020-02-15,2644,66576,142,1663
44,2020-02-16,2008,68584,104,1767
45,2020-02-17,2051,70635,98,1865
46,2020-02-18,1893,72528,139,2004
47,2020-02-19,1750,74278,113,2117
48,2020-02-20,397,74675,122,2239
49,2020-02-21,893,75568,0,2239
50,2020-02-22,825,76393,205,2444
51,2020-02-23,649,77042,2,2446
52,2020-02-24,220,77262,150,2596
53,2020-02-25,517,77779,70,2666
54,2020-02-26,411,78190,52,2718
55,2020-02-27,449,78630,29,2747
56,2020-02-28,427,78959,44,2791
57,2020-02-29,909,79389,47,2838
58,2020-03-01,595,79968,35,2873
59,2020-03-02,686,80174,42,2915
60,2020-03-03,908,80302,33,2948
61,2020-03-04,1421,80422,36,2984
62,2020-03-05,591,80565,32,3016
63,2020-03-06,1234,80710,41,3045
64,2020-03-07,1076,80813,49,3073
65,2020-03-08,1247,80859,49,3101
66,2020-03-09,1492,80904,133,3124
67,2020-03-10,1797,80924,98,3140
68,2020-03-11,977,80955,167,3162
69,2020-03-12,2313,80980,196,3173
70,2020-03-13,2651,80991,189,3181
71,2020-03-14,2547,81021,252,3194
72,2020-03-15,3497,81048,173,3204
73,2020-03-16,2823,81077,370,3218
74,2020-03-17,4000,81117,347,3231
75,2020-03-18,3526,81151,347,3242
76,2020-03-19,4482,81237,473,3250
77,2020-03-20,5940,81300,429,3407
78,2020-03-21,5986,81416,625,4032
79,2020-03-22,6557,81498,795,4827
80,2020-03-23,6037,81601,649,5476
81,2020-03-24,9032,81747,601,6077
82,2020-03-25,11224,81848,743,6820
83,2020-03-26,10786,81961,723,7505
84,2020-03-27,14073,82078,824,8165
85,2020-03-28,17135,89686,971,9136
86,2020-03-29,18547,108233,909,10023
87,2020-03-30,19444,127677,839,10781
88,2020-03-31,18136,145813,811,11591
89,2020-04-01,22395,168208,913,12430
90,2020-04-02,22834,191042,899,13157
91,2020-04-03,27357,218399,912,13917
92,2020-04-04,25982,244381,2003,14681
93,2020-04-05,35131,279512,1067,15362
94,2020-04-06,30593,310105,1157,15889
95,2020-04-07,25511,335616,1364,16525
96,2020-04-08,42604,378220,3243,17129
97,2020-04-09,21975,400195,1030,17669
98,2020-04-10,31714,431909,1958,18281
99,2020-04-11,31215,463124,2343,18851
100,2020-04-12,34595,497719,1640,19470
101,2020-04-13,32364,530083,1971,21206
102,2020-04-14,27973,558056,1380,22586
103,2020-04-15,24540,582596,1076,23183
104,2020-04-16,25794,608390,2356,25539
105,2020-04-17,27172,635562,6508,32047
106,2020-04-18,29015,664577,2011,34058
107,2020-04-19,29978,694555,2451,36509
108,2020-04-20,29759,724314,1794,38303
109,2020-04-21,24371,748685,1878,40181
110,2020-04-22,29479,778164,2807,42988
111,2020-04-23,26339,804503,2820,45808
112,2020-04-24,26644,831147,1771,47579
113,2020-04-25,37063,868210,2489,50068
114,2020-04-26,30408,898618,1652,51720
115,2020-04-27,33630,932248,2017,53737
116,2020-04-28,27787,960035,1460,55197
117,2020-04-29,24270,984305,1423,56620
118,2020-04-30,24095,1008400,2253,58873
119,2020-05-01,26299,1034699,2474,61347
120,2020-05-02,31184,1065883,2264,63611
121,2020-05-03,30169,1096052,1939,65550
122,2020-05-04,28743,1124795,1494,67044
123,2020-05-05,29161,1153956,1728,68772
124,2020-05-06,19069,1173025,976,69748
125,2020-05-07,22690,1195715,2455,72203
126,2020-05-08,23593,1219308,2310,74513
127,2020-05-09,30297,1249605,2277,76790
128,2020-05-10,25214,1274819,1620,78410
129,2020-05-11,26914,1301733,1626,80036
130,2020-05-12,23871,1325604,980,81016
131,2020-05-13,18080,1343684,1076,82092
132,2020-05-14,22025,1365709,1526,83618
133,2020-05-15,20953,1386662,1644,85262
134,2020-05-16,26972,1413634,1794,87056
135,2020-05-17,22855,1436489,1483,88539
136,2020-05-18,32243,1468732,1399,89938
137,2020-05-19,13346,1482078,696,90634
138,2020-05-20,24654,1506732,982,91616
139,2020-05-21,24261,1530993,1324,92940
140,2020-05-22,22354,1553347,1347,94287
141,2020-05-23,20665,1574012,1188,95370
142,2020-05-24,24382,1598394,1832,97202
143,2020-05-25,26188,1624582,1030,98232
144,2020-05-26,15813,1639539,653,98875
145,2020-05-27,24630,1664169,807,99512
146,2020-05-28,16630,1680799,1039,100314
147,2020-05-29,20599,1700819,1388,101702
148,2020-05-30,26417,1722278,1215,102917
149,2020-05-31,26928,1740331,1124,103971
150,2020-06-01,33274,1764252,956,104900
151,2020-06-02,25812,1790064,661,105561
152,2020-06-03,12207,1802271,623,106170
153,2020-06-04,28936,1827398,1262,107228
154,2020-06-05,28633,1842666,1349,108176
155,2020-06-06,30925,1863314,1473,109076
156,2020-06-07,30830,1892829,1109,110185
157,2020-06-08,28389,1921218,904,110890
158,2020-06-09,18912,1938744,627,111406
159,2020-06-10,17902,1956646,796,112202
160,2020-06-11,32091,1974675,1272,113126
161,2020-06-12,32913,1995978,1274,113957
162,2020-06-13,30412,2018622,1239,114889
163,2020-06-14,25982,2040801,909,115583
164,2020-06-15,24677,2065478,892,116257
165,2020-06-16,20844,2086322,627,116663
166,2020-06-17,20647,2105922,2003,117182
167,2020-06-18,36179,2135663,1282,117931
168,2020-06-19,32188,2160056,1269,118650
169,2020-06-20,28912,2188968,1238,119369
170,2020-06-21,54771,2221847,1206,120076
171,2020-06-22,34666,2254738,1022,120671
172,2020-06-23,27874,2282612,1044,121037
173,2020-06-24,26719,2309331,759,121476
174,2020-06-25,39436,2344405,1374,122300
175,2020-06-26,42725,2383769,1185,123004
176,2020-06-27,39824,2423593,2553,125557
177,2020-06-28,46860,2468832,990,126213
178,2020-06-29,44729,2513561,1109,126772
179,2020-06-30,40282,2553843,964,127736
180,2020-07-01,37174,2591017,692,128182
181,2020-07-02,45607,2636624,1280,128892
182,2020-07-03,55938,2692562,1038,129652
183,2020-07-04,55490,2748052,1252,130351
184,2020-07-05,56340,2804392,1290,131124
185,2020-07-06,50876,2855268,1091,131558
186,2020-07-07,42980,2898248,602,131939
187,2020-07-08,51356,2949604,620,132467
188,2020-07-09,53167,3002771,1254,133485
189,2020-07-10,66610,3069381,1223,134543
190,2020-07-11,60075,3129456,1220,135421
191,2020-07-12,69090,3198546,1214,136324
192,2020-07-13,61027,3259573,1071,137163
193,2020-07-14,60071,3319644,691,137854
194,2020-07-15,60648,3380292,733,138458
195,2020-07-16,60242,3440534,1300,139451
196,2020-07-17,70732,3511266,1233,140539
197,2020-07-18,72641,3583907,1322,141580
198,2020-07-19,76170,3660077,1163,142587
199,2020-07-20,64007,3724084,943,143530
200,2020-07-21,61095,3785179,764,144294
201,2020-07-22,58837,3844016,746,145040
202,2020-07-23,64223,3908239,1367,146225
203,2020-07-24,70150,3978389,1284,147358
204,2020-07-25,70791,4049180,1311,148590
205,2020-07-26,72859,4122039,1203,149793
206,2020-07-27,61341,4183380,1211,150837
207,2020-07-28,58028,4241408,712,151549
208,2020-07-29,53900,4295308,786,152335
209,2020-07-30,58936,4354244,1259,153594
210,2020-07-31,69074,4417933,1595,154871
211,2020-08-01,67033,4484966,1413,156284
212,2020-08-02,65085,4550051,1298,157582
213,2020-08-03,57487,4607538,1120,158702
