,date,daily_vaccinations_raw,people_vaccinated,people_fully_vaccinated,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths
0,#date,0.0,0.0,0.0,,,,
1,2020-12-02,0.0,0.0,0.0,160365.0,1491.0,13597894.0,272726.0
2,2020-12-03,0.0,0.0,0.0,189757.0,2534.0,13787651.0,275260.0
3,2020-12-04,0.0,0.0,0.0,205815.0,2734.0,13993466.0,277994.0
4,2020-12-05,0.0,0.0,0.0,222840.0,2844.0,14216306.0,280838.0
5,2020-12-06,0.0,0.0,0.0,224358.0,2440.0,14440664.0,283278.0
6,2020-12-07,0.0,0.0,0.0,208854.0,2341.0,14649518.0,285619.0
7,2020-12-08,0.0,0.0,0.0,173874.0,1316.0,14823392.0,286935.0
8,2020-12-09,0.0,0.0,0.0,194996.0,1841.0,15018388.0,288776.0
9,2020-12-10,0.0,10642.0,1.0,227096.0,2668.0,15245484.0,291444.0
10,2020-12-11,5264.0,15906.0,1.0,217561.0,3187.0,15463045.0,294631.0
11,2020-12-12,2120.0,18026.0,1.0,209909.0,2838.0,15672954.0,297469.0
12,2020-12-13,1107.0,19133.0,1.0,250135.0,3024.0,15923089.0,300493.0
13,2020-12-14,5680.0,24813.0,1.0,217251.0,2396.0,16140340.0,302889.0
14,2020-12-15,1529218.0,32120.0,1.0,180769.0,1649.0,16321109.0,304538.0
15,2020-12-16,7142.0,39262.0,1.0,202385.0,1908.0,16523494.0,306446.0
16,2020-12-17,7046.0,46308.0,1.0,200935.0,2968.0,16724429.0,309414.0
17,2020-12-18,8462.0,54768.0,3.0,243962.0,3420.0,16968391.0,312834.0
18,2020-12-19,3339.0,58107.0,3.0,246505.0,3446.0,17214896.0,316280.0
19,2020-12-20,564411.0,604867.0,3.0,237330.0,2754.0,17452226.0,319034.0
20,2020-12-21,90922.0,695789.0,4.0,198918.0,2584.0,17651144.0,321618.0
21,2020-12-22,73850.0,769639.0,6.0,192411.0,1803.0,17843555.0,323421.0
22,2020-12-23,504195.0,1273834.0,9.0,187349.0,1937.0,18030904.0,325358.0
23,2020-12-24,98142.0,1371976.0,9.0,200442.0,3244.0,18231346.0,328602.0
24,2020-12-25,43699.0,1415675.0,9.0,232439.0,3348.0,18463785.0,331950.0
25,2020-12-26,976306.0,2391981.0,9.0,196598.0,2820.0,18660383.0,334770.0
26,2020-12-27,170186.0,2562150.0,17.0,133256.0,1768.0,18793639.0,336538.0
27,2020-12-28,371267.0,2929784.0,56.0,183182.0,1598.0,18976821.0,338136.0
28,2020-12-29,270201.0,3198561.0,2282.0,148496.0,1702.0,19125317.0,339838.0
29,2020-12-30,990935.0,4189369.0,6554.0,179388.0,2017.0,19304705.0,341855.0
30,2020-12-31,3313455.0,4467795.0,11355.0,208626.0,3543.0,19513331.0,345398.0
31,2021-01-01,112534.0,4580318.0,12458.0,237337.0,3726.0,19750668.0,349124.0
32,2021-01-02,2363302.0,6943335.0,17158.0,230749.0,3277.0,19981417.0,352401.0
33,2021-01-03,1647295.0,8568622.0,23391.0,172805.0,2581.0,20154222.0,354982.0
34,2021-01-04,816366.0,9373311.0,30254.0,280226.0,2578.0,20434448.0,357560.0
35,2021-01-05,1564429.0,10109568.0,77512.0,207617.0,1744.0,20642065.0,359304.0
36,2021-01-06,1007778.0,10979045.0,158644.0,182342.0,2129.0,20824407.0,361433.0
37,2021-01-07,1228192.0,12131148.0,238071.0,234989.0,3713.0,21059396.0,365146.0
38,2021-01-08,1400527.0,13405614.0,297740.0,249893.0,3772.0,21309289.0,368918.0
39,2021-01-09,4906972.0,13692332.0,26944.0,278047.0,4125.0,21587336.0,373043.0
40,2021-01-10,1643200.0,15705800.0,652339.0,312247.0,3601.0,21899583.0,376644.0
41,2021-01-11,3069647.0,18651642.0,692409.0,242706.0,3427.0,22142289.0,380071.0
42,2021-01-12,1242351.0,19730330.0,744270.0,217568.0,2340.0,22359857.0,382411.0
