,location,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
0,#country+name,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Afghanistan,484737.0,177266.0,4015.0,1.7,1.25,0.46,358.0
2,Africa,30254871.0,11835115.0,2488207.0,3.2,2.26,0.88,720.0
3,Albania,507764.0,334771.0,23655.0,29.28,17.64,11.63,6104.0
4,Algeria,2500000.0,0.0,30.0,5.7,5.7,0.0,517.0
5,Andorra,30535.0,10938.0,2829.0,53.68,39.52,14.16,15298.0
6,Angola,822109.0,492266.0,0.0,4.0,2.5,1.5,1025.0
7,Anguilla,9119.0,5818.0,1421.0,99.57,60.79,38.78,22064.0
8,Antigua and Barbuda,34883.0,23844.0,2221.0,59.97,35.62,24.35,13050.0
9,Argentina,13223188.0,3420581.0,376815.0,36.83,29.26,7.57,7498.0
10,Armenia,46503.0,0.0,0.0,1.57,1.57,0.0,625.0
11,Aruba,66336.0,55933.0,5076.0,114.52,62.13,52.39,25092.0
12,Asia,984473259.0,345046218.0,28518325.0,30.82,21.22,7.44,5623.0
13,Australia,5232353.0,698892.0,153338.0,23.26,20.52,2.74,4788.0
14,Austria,4279537.0,2228818.0,141449.0,71.35,47.52,24.75,10007.0
15,Azerbaijan,1842954.0,973392.0,62296.0,27.78,18.18,9.6,5335.0
16,Bahamas,50292.0,17827.0,110.0,17.32,12.79,4.53,3018.0
17,Bahrain,1032832.0,872508.0,25824.0,111.97,60.7,51.28,11850.0
18,Bangladesh,5823245.0,4248068.0,261945.0,6.12,3.54,2.58,1195.0
19,Barbados,88373.0,62631.0,16939.0,52.55,30.75,21.79,15750.0
20,Belarus,610988.0,313938.0,0.0,9.79,6.47,3.32,1937.0
21,Belgium,5712486.0,3169664.0,194474.0,75.34,49.29,27.35,13044.0
22,Belize,72453.0,16116.0,10917.0,22.27,18.22,4.05,6496.0
23,Benin,21834.0,4790.0,0.0,0.22,0.18,0.04,63.0
24,Bermuda,41198.0,35662.0,0.0,123.42,66.16,57.27,12413.0
25,Bhutan,482716.0,0.0,97322.0,62.56,62.56,0.0,118759.0
26,Bolivia,1572351.0,544871.0,87847.0,18.14,13.47,4.67,3861.0
27,Bonaire Sint Eustatius and Saba,5726.0,1665.0,0.0,28.19,21.84,6.35,0.0
28,Bosnia and Herzegovina,252499.0,63281.0,0.0,9.63,7.7,1.93,4169.0
29,Botswana,150019.0,0.0,0.0,6.38,6.38,0.0,2949.0
30,Brazil,56479200.0,23789007.0,3368729.0,37.76,26.57,11.19,6364.0
31,British Virgin Islands,12245.0,7289.0,0.0,64.6,40.5,24.11,7640.0
32,Brunei,51908.0,11578.0,3656.0,14.51,11.87,2.65,5817.0
33,Bulgaria,888892.0,713244.0,38117.0,23.06,12.79,10.26,3891.0
34,Burkina Faso,17775.0,0.0,0.0,0.09,0.09,0.0,87.0
35,Cambodia,3076775.0,2591140.0,130377.0,33.9,18.4,15.5,5886.0
36,Cameroon,72111.0,17069.0,400.0,0.34,0.27,0.06,102.0
37,Canada,24683269.0,5234583.0,510910.0,79.27,65.4,13.87,11591.0
38,Cape Verde,45013.0,2930.0,3001.0,8.62,8.1,0.53,3468.0
39,Cayman Islands,46928.0,39090.0,1579.0,131.94,71.41,59.48,15581.0
40,Central African Republic,41095.0,1549.0,12887.0,0.88,0.85,0.03,476.0
41,Chad,5324.0,0.0,0.0,0.03,0.03,0.0,0.0
42,Chile,11744468.0,9117659.0,430119.0,108.06,61.44,47.7,15614.0
43,China,622000000.0,223299000.0,22918000.0,64.19,43.21,15.51,14103.0
44,Colombia,9291221.0,3875823.0,314716.0,25.88,18.26,7.62,5235.0
45,Comoros,43140.0,41220.0,0.0,9.7,4.96,4.74,5048.0
46,Congo,22623.0,15645.0,1486.0,1.13,0.41,0.28,176.0
47,Cook Islands,9589.0,2665.0,0.0,69.77,54.59,15.17,31940.0
48,Costa Rica,1409778.0,740742.0,0.0,42.22,27.67,14.54,7920.0
49,Cote d'Ivoire,705051.0,0.0,28994.0,2.67,2.67,0.0,826.0
50,Croatia,1419924.0,744950.0,53059.0,52.73,34.59,18.15,8639.0
51,Cuba,2005691.0,591072.0,186081.0,32.07,17.71,5.22,16429.0
52,Curacao,87525.0,74928.0,4693.0,99.0,53.34,45.66,21036.0
53,Cyprus,436280.0,282495.0,15365.0,82.06,49.81,32.25,14286.0
54,Czechia,4610875.0,2238730.0,116969.0,63.3,43.06,20.91,8979.0
55,Democratic Republic of Congo,34330.0,2609.0,0.0,0.04,0.04,0.0,12.0
56,Denmark,2777818.0,1523596.0,105735.0,74.26,47.96,26.3,11526.0
57,Djibouti,12547.0,8810.0,0.0,2.16,1.27,0.89,812.0
58,Dominica,20048.0,17630.0,1226.0,52.34,27.85,24.49,12515.0
59,Dominican Republic,4272574.0,2097995.0,244052.0,58.73,39.39,19.34,16981.0
60,Ecuador,2043159.0,1038013.0,100735.0,17.46,11.58,5.88,3577.0
61,Egypt,2997129.0,606676.0,97771.0,3.52,2.93,0.59,989.0
62,El Salvador,1384489.0,1004438.0,75346.0,36.83,21.35,15.49,7153.0
63,England,34965745.0,25566178.0,756873.0,107.54,62.12,45.42,9157.0
64,Equatorial Guinea,148579.0,99605.0,0.0,17.69,10.59,7.1,3573.0
65,Estonia,530511.0,317707.0,17586.0,63.94,39.99,23.95,7541.0
66,Eswatini,35227.0,0.0,1112.0,3.04,3.04,0.0,2911.0
67,Ethiopia,1894717.0,0.0,59977.0,1.69,1.65,0.0,311.0
68,Europe,272268496.0,162451602.0,6649310.0,57.32,36.37,21.7,6772.0
69,European Union,199160141.0,110066905.0,5400720.0,68.26,44.76,24.74,9128.0
70,Faeroe Islands,25686.0,14645.0,1022.0,82.54,52.57,29.97,15799.0
71,Falkland Islands,2632.0,1775.0,0.0,126.53,75.57,50.96,54264.0
72,Fiji,237940.0,4599.0,28295.0,27.06,26.54,0.51,13894.0
73,Finland,2848931.0,729128.0,122003.0,64.58,51.42,13.16,9255.0
74,France,30374473.0,14371963.0,745749.0,65.57,44.96,21.27,8537.0
75,French Polynesia,64749.0,54644.0,450.0,42.5,23.05,19.45,6351.0
76,Gabon,23260.0,10331.0,1486.0,1.51,1.05,0.46,656.0
77,Gambia,30421.0,10389.0,0.0,1.69,1.26,0.43,603.0
78,Georgia,212163.0,69197.0,10409.0,7.05,5.32,1.73,2015.0
79,Germany,40475199.0,22302188.0,1407822.0,73.32,48.31,26.62,9821.0
80,Ghana,852047.0,376169.0,48252.0,3.95,2.74,1.21,1749.0
81,Gibraltar,39133.0,38698.0,1330.0,231.01,116.15,114.86,31700.0
82,Greece,4302109.0,2911340.0,114676.0,67.56,41.27,27.93,9389.0
83,Greenland,21179.0,9409.0,1645.0,53.88,37.31,16.57,12964.0
84,Grenada,18415.0,9514.0,694.0,24.82,16.37,8.46,4222.0
85,Guatemala,547657.0,136095.0,46132.0,3.82,3.06,0.76,1203.0
86,Guernsey,32969.0,13618.0,1603.0,112.12,49.17,20.31,12185.0
87,Guinea,304716.0,98558.0,18730.0,3.07,2.32,0.75,936.0
88,Guinea-Bissau,18706.0,0.0,0.0,0.95,0.95,0.0,241.0
89,Guyana,216862.0,83729.0,0.0,38.22,27.57,10.64,6357.0
90,High income,521539167.0,332256679.0,9777410.0,68.05,41.29,26.31,6635.0
91,Honduras,421925.0,57926.0,34995.0,4.84,4.26,0.58,2218.0
92,Hong Kong,1790659.0,1215548.0,54145.0,40.1,23.89,16.21,5773.0
93,Hungary,5363124.0,4271990.0,187488.0,95.75,55.52,44.22,13034.0
94,Iceland,224191.0,138517.0,17136.0,95.82,65.7,40.59,21084.0
95,India,207830971.0,47474395.0,5263384.0,18.5,15.06,3.44,2652.0
96,Indonesia,20904723.0,11699021.0,1104221.0,11.92,7.64,4.28,1643.0
97,Iran,3984095.0,808786.0,71691.0,5.71,4.74,0.96,1381.0
98,Iraq,494524.0,209296.0,9985.0,1.75,1.23,0.52,357.0
99,Ireland,1760642.0,514808.0,56377.0,62.78,35.66,10.43,14433.0
100,Isle of Man,62400.0,28591.0,2140.0,107.01,73.38,33.62,18240.0
101,Israel,5485236.0,5147028.0,233518.0,122.84,63.37,59.47,21367.0
102,Italy,29949601.0,14467292.0,626819.0,71.55,49.53,23.93,9655.0
103,Jamaica,163209.0,31106.0,3784.0,6.56,5.51,1.05,4416.0
104,Japan,19262621.0,7113830.0,1353217.0,20.85,15.23,5.62,7912.0
105,Jersey,64541.0,50074.0,0.0,113.4,63.86,49.54,12199.0
106,Jordan,1969242.0,782039.0,129809.0,26.97,19.3,7.66,5656.0
107,Kazakhstan,2547363.0,1435334.0,425854.0,21.21,13.57,7.64,5219.0
108,Kenya,987277.0,128744.0,81900.0,2.08,1.84,0.24,730.0
109,Kosovo,98277.0,0.0,1800.0,5.08,5.08,0.0,1347.0
110,Kuwait,2875000.0,38000.0,0.0,42.62,67.32,0.89,9549.0
111,Kyrgyzstan,88178.0,47400.0,205.0,2.08,1.35,0.73,568.0
112,Laos,717648.0,404480.0,38652.0,15.42,9.86,5.56,3205.0
113,Latvia,574168.0,438851.0,24579.0,51.66,30.44,23.27,9002.0
114,Lebanon,716565.0,341907.0,33190.0,15.51,10.5,5.01,3162.0
115,Lesotho,36637.0,122.0,0.0,1.72,1.71,0.01,311.0
116,Liberia,66884.0,553.0,1847.0,1.33,1.32,0.01,352.0
117,Libya,330260.0,0.0,0.0,4.81,4.81,0.0,1345.0
118,Liechtenstein,16479.0,10449.0,580.0,70.61,43.21,27.4,10777.0
119,Lithuania,1183917.0,812002.0,42538.0,73.32,43.49,29.83,10530.0
120,Low income,6522357.0,701819.0,658143.0,0.94,0.84,0.09,208.0
121,Lower middle income,272196746.0,75230408.0,6839007.0,11.27,8.79,2.43,1489.0
122,Luxembourg,270860.0,175704.0,17163.0,71.34,43.27,28.07,11467.0
123,Macao,181797.0,80656.0,7758.0,40.23,28.0,12.42,10352.0
124,Madagascar,150329.0,0.0,13544.0,0.54,0.54,0.0,370.0
125,Malawi,373577.0,13786.0,19419.0,2.02,1.95,0.07,685.0
126,Malaysia,3435420.0,1468689.0,250944.0,15.15,10.61,4.54,4917.0
127,Maldives,314194.0,179436.0,11474.0,91.32,58.13,33.2,14510.0
128,Mali,121077.0,42141.0,0.0,0.81,0.6,0.21,207.0
129,Malta,341941.0,265090.0,8598.0,135.0,77.44,60.04,17115.0
130,Mauritania,42333.0,6902.0,2532.0,1.06,0.91,0.15,311.0
131,Mauritius,247673.0,207569.0,0.0,35.8,19.47,16.32,7456.0
132,Mexico,26422800.0,15175659.0,1062926.0,29.32,20.49,11.77,5093.0
133,Moldova,388808.0,167789.0,45233.0,13.8,9.64,4.16,4010.0
134,Monaco,18836.0,15129.0,0.0,86.55,48.0,38.55,7976.0
135,Mongolia,1897956.0,1667849.0,189916.0,108.77,57.89,50.88,38271.0
136,Montenegro,145636.0,120328.0,20762.0,42.35,23.19,19.16,13244.0
137,Montserrat,1389.0,1195.0,0.0,51.69,27.79,23.9,10602.0
138,Morocco,9368046.0,7520331.0,457717.0,45.75,25.38,20.37,7029.0
139,Mozambique,320129.0,74801.0,0.0,1.26,1.02,0.24,248.0
140,Myanmar,1772177.0,1222723.0,3800.0,5.5,3.26,2.25,1243.0
141,Namibia,88649.0,14956.0,5260.0,4.08,3.49,0.59,1000.0
142,Nauru,7438.0,0.0,168.0,68.65,68.65,0.0,22060.0
143,Nepal,2438127.0,691494.0,74799.0,10.74,8.37,2.37,1523.0
144,Netherlands,7759667.0,4041858.0,0.0,66.5,45.29,23.59,9724.0
145,New Caledonia,55277.0,45891.0,0.0,35.44,19.36,16.07,4340.0
146,New Zealand,567188.0,324514.0,23251.0,18.49,11.76,6.73,3402.0
147,Nicaragua,167500.0,0.0,0.0,2.53,2.53,0.0,1110.0
148,Niger,172812.0,13395.0,0.0,0.77,0.71,0.06,308.0
149,Nigeria,1964095.0,261670.0,326014.0,1.08,0.95,0.13,334.0
150,North America,237897165.0,171731970.0,5136050.0,67.28,40.18,29.01,7166.0
151,North Macedonia,259395.0,193029.0,37065.0,21.72,12.45,9.27,7291.0
152,Northern Cyprus,75463.0,54280.0,1193.0,33.94,19.74,14.2,4351.0
