,date,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
0,#date,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-12-10,10642.0,1.0,0.0,0.19,0.19,0.0,0.0
10,2020-12-11,15906.0,1.0,5264.0,0.29,0.29,0.0,964.0
11,2020-12-12,18026.0,1.0,2120.0,0.33,0.33,0.0,676.0
12,2020-12-13,19133.0,1.0,1107.0,0.35,0.35,0.0,518.0
13,2020-12-14,24813.0,1.0,5680.0,0.45,0.45,0.0,649.0
14,2020-12-15,32120.0,1.0,1529218.0,0.59,0.59,0.0,786.0
15,2020-12-16,39262.0,1.0,7142.0,0.72,0.72,0.0,873.0
16,2020-12-17,46308.0,1.0,7046.0,0.85,0.85,0.0,933.0
17,2020-12-18,54768.0,3.0,8462.0,1.0,1.0,0.0,1016.0
18,2020-12-19,58107.0,3.0,3339.0,1.06,1.06,0.0,1048.0
19,2020-12-20,604867.0,3.0,564411.0,1.11,1.11,0.0,1085.0
20,2020-12-21,695789.0,4.0,90922.0,1.28,1.28,0.0,1863.0
21,2020-12-22,769639.0,6.0,73850.0,1.5,1.5,0.0,2960.0
22,2020-12-23,1273834.0,9.0,504195.0,2.29,2.29,0.0,4035.0
23,2020-12-24,1371976.0,9.0,98142.0,2.94,2.94,0.0,6527.0
24,2020-12-25,1415675.0,9.0,43699.0,2.97,2.97,0.0,4842.0
25,2020-12-26,2391981.0,9.0,976306.0,3.28,3.28,0.0,4688.0
26,2020-12-27,2562150.0,17.0,170186.0,4.49,4.49,0.0,6289.0
27,2020-12-28,2929784.0,56.0,371267.0,6.05,6.05,0.0,8103.0
28,2020-12-29,3198561.0,2282.0,270201.0,7.85,7.85,0.0,9940.0
29,2020-12-30,4189369.0,6554.0,990935.0,9.61,9.61,0.01,11424.0
30,2020-12-31,4467795.0,11355.0,3313455.0,11.44,11.44,0.02,12824.0
31,2021-01-01,4580318.0,12458.0,112534.0,12.26,12.26,0.02,13365.0
32,2021-01-02,6943335.0,17158.0,2363302.0,13.09,13.09,0.03,14010.0
33,2021-01-03,8568622.0,23391.0,1647295.0,14.82,14.82,0.07,14753.0
34,2021-01-04,9373311.0,30254.0,816366.0,16.57,16.57,0.05,15034.0
35,2021-01-05,10109568.0,77512.0,1564429.0,18.01,18.01,0.14,14521.0
36,2021-01-06,10979045.0,158644.0,1007778.0,19.2,19.2,0.28,13702.0
37,2021-01-07,12131148.0,238071.0,1228192.0,20.54,20.54,0.42,13003.0
38,2021-01-08,13405614.0,297740.0,1400527.0,21.31,21.31,0.53,12921.0
39,2021-01-09,13692332.0,26944.0,4906972.0,21.82,21.82,0.01,12473.0
40,2021-01-10,15705800.0,652339.0,1643200.0,22.32,22.25,2.53,10726.0
41,2021-01-11,18651642.0,692409.0,3069647.0,22.79,22.5,0.81,30424.0
42,2021-01-12,19730330.0,744270.0,1242351.0,23.48,22.77,0.94,30869.0
43,2021-01-13,20953208.0,821084.0,3468445.0,24.73,23.37,1.36,29266.0
44,2021-01-14,22411741.0,2244735.0,2461406.0,26.18,24.02,2.15,28465.0
45,2021-01-15,24368988.0,2562107.0,2737380.0,26.95,24.38,2.57,27990.0
46,2021-01-16,25200868.0,2593271.0,1158076.0,27.58,24.72,2.87,26832.0
47,2021-01-17,25774081.0,2708851.0,815486.0,29.35,25.5,3.84,23003.0
48,2021-01-18,26918554.0,2878273.0,1540051.0,31.54,26.31,5.23,21163.0
49,2021-01-19,31116645.0,3518689.0,5071880.0,33.97,27.15,6.82,19145.0
50,2021-01-20,33184132.0,3933020.0,7517039.0,36.51,28.03,8.48,16824.0
51,2021-01-21,35418400.0,4491993.0,2970433.0,39.21,28.83,10.37,18614.0
52,2021-01-22,38337267.0,5035100.0,3676385.0,40.46,29.27,11.19,19309.0
53,2021-01-23,40786789.0,5472289.0,3107431.0,41.54,29.73,11.81,19936.0
54,2021-01-24,42716002.0,5908223.0,2671267.0,43.96,30.69,13.43,20870.0
55,2021-01-25,44817940.0,6416900.0,2668829.0,46.5,31.46,15.04,21367.0
56,2021-01-26,46560512.0,6968889.0,2571204.0,48.86,32.87,16.49,21276.0
57,2021-01-27,49057335.0,7687909.0,11086271.0,51.2,33.26,17.94,20987.0
58,2021-01-28,51949487.0,8624628.0,4266663.0,53.62,36.6,19.44,20593.0
59,2021-01-29,54792800.0,9527629.0,4186183.0,54.79,38.19,20.19,20469.0
60,2021-01-30,57464788.0,10335997.0,3775551.0,55.68,38.19,20.68,20216.0
61,2021-01-31,59588321.0,11091956.0,4352675.0,57.21,38.25,21.37,21141.0
62,2021-02-01,61513860.0,11772268.0,2936698.0,58.57,38.51,21.77,22066.0
63,2021-02-02,63219240.0,12382056.0,2594801.0,59.73,38.8,22.13,19717.0
64,2021-02-03,65592302.0,13354068.0,10870104.0,61.02,39.08,22.72,19382.0
65,2021-02-04,68639124.0,14507295.0,4662080.0,62.52,39.32,23.39,20599.0
66,2021-02-05,71526929.0,15572621.0,4277064.0,63.24,39.77,23.72,22944.0
67,2021-02-06,74422099.0,16679352.0,4356551.0,63.75,40.07,23.98,26328.0
68,2021-02-07,76667603.0,17920336.0,3615579.0,65.16,40.39,24.77,24547.0
69,2021-02-08,78810180.0,18729887.0,3268591.0,66.59,41.27,25.52,54264.0
70,2021-02-09,81169543.0,19609970.0,12757788.0,68.13,42.45,26.3,54264.0
71,2021-02-10,84380324.0,20861736.0,4857424.0,69.78,45.3,27.13,54264.0
72,2021-02-11,87555811.0,22306462.0,4877249.0,71.54,45.82,27.96,54264.0
73,2021-02-12,93824924.0,24109270.0,5622209.0,72.42,46.3,28.39,54264.0
74,2021-02-13,96949918.0,25632921.0,5041909.0,75.06,46.79,28.74,54264.0
75,2021-02-14,99802077.0,27230323.0,3970926.0,77.0,47.16,29.84,54264.0
76,2021-02-15,101900118.0,27922588.0,3123515.0,78.3,47.89,30.41,54264.0
77,2021-02-16,105647626.0,29614873.0,5768424.0,80.24,48.27,31.97,47947.0
78,2021-02-17,108772079.0,31161152.0,4879543.0,82.18,48.63,33.55,41344.0
79,2021-02-18,112523630.0,32958041.0,6157355.0,85.42,49.64,35.78,35027.0
80,2021-02-19,118180775.0,35164193.0,5484609.0,87.07,49.75,37.32,28424.0
81,2021-02-20,121078213.0,36723762.0,4563735.0,87.07,49.75,37.32,21820.0
82,2021-02-21,123097200.0,38246675.0,3554337.0,90.33,52.91,37.42,19056.0
83,2021-02-22,125451597.0,39474629.0,3685052.0,93.89,56.1,37.78,22261.0
84,2021-02-23,130883551.0,43012384.0,4497014.0,97.07,58.94,38.13,24042.0
85,2021-02-24,134560744.0,44681598.0,5493145.0,99.05,60.68,38.37,24101.0
86,2021-02-25,138307112.0,46838251.0,6091143.0,102.7,64.09,38.61,24695.0
87,2021-02-26,142220861.0,49145810.0,6328405.0,106.53,67.41,39.11,27812.0
88,2021-02-27,145527218.0,51088824.0,5514415.0,109.25,69.8,39.45,31700.0
89,2021-02-28,148508804.0,52575577.0,16504080.0,109.25,69.8,39.45,27040.0
90,2021-03-01,151917156.0,54025415.0,5011459.0,112.96,72.28,40.68,27248.0
91,2021-03-02,159502007.0,56720114.0,10487871.0,116.71,74.86,41.85,28049.0
92,2021-03-03,164417772.0,58884505.0,7191318.0,120.66,76.07,44.59,30869.0
93,2021-03-04,170141050.0,61321213.0,8438273.0,122.64,77.66,44.98,28494.0
94,2021-03-05,175900111.0,63620674.0,8171458.0,126.29,80.57,45.72,28227.0
95,2021-03-06,180955229.0,65733618.0,7454321.0,129.74,83.52,46.22,29266.0
96,2021-03-07,184726738.0,67089870.0,5463652.0,129.74,83.52,46.22,29266.0
97,2021-03-08,189805129.0,68944959.0,6893284.0,131.31,84.39,46.92,26209.0
